total moves random,total moves priority
4810,320
8732,3588
925,1114
2307,627
6308,975
1943,530
816,4398
13465,3698
8361,3617
672,3420
1065,1598
8281,3199
1462,1714
1600,10763
490,1181
7049,1353
2884,693
598,2022
775,2041
2727,1518
908,1570
396,15713
1547,1041
5774,537
2944,577
1296,732
2911,2943
3018,732
3632,2512
5123,600
817,2405
5846,4011
1528,9559
982,3694
12945,13592
704,5548
666,1730
1834,684
2031,4666
884,616
1528,1631
437,4848
5224,794
409,665
403,3441
678,1628
9240,3802
1110,1339
1213,3722
822,3504
5683,5296
868,867
4966,2865
1825,4505
6039,1900
3928,729
1240,627
1455,1328
6993,3666
5479,1336
14255,702
1015,4249
2419,1461
678,1192
1555,7167
1666,7692
721,4960
1205,2148
5812,7281
5293,1935
818,1195
2738,8846
7724,2766
1474,4070
3634,1376
3330,524
2509,6984
2198,348
2792,2712
2374,346
497,2583
7941,1940
1182,1029
3713,401
5813,1579
2267,3928
3863,602
2198,1076
446,9368
1530,1433
828,3077
749,6810
1697,2927
557,2262
3774,5522
5682,693
707,6747
21233,1142
3263,10554
1810,1684
4564,3059
910,1792
2756,1995
7450,5983
5041,1029
964,971
3880,2409
1696,2676
689,2115
5186,4051
4493,2850
377,10853
382,3501
2741,4566
2979,5630
4986,2108
442,2879
1300,1506
5824,1852
3956,6094
1558,535
3887,948
640,956
319,1412
3106,1619
1868,851
9570,3210
1567,2130
5883,11938
5361,834
2134,7271
3387,4523
4547,747
1717,7464
2315,7381
2909,5504
7279,909
2383,1281
7185,6175
2713,916
2029,6391
1059,3613
4338,967
6794,2555
3154,1324
1389,600
10600,433
584,1004
2419,1667
1343,3246
343,5385
3887,528
525,3264
3044,5601
12205,7707
1715,640
538,8808
3494,6867
825,1392
8045,15400
3824,894
1526,766
2576,6547
853,580
7358,650
1368,6219
1230,2860
6288,694
1750,2586
1299,11372
7736,5689
13593,2347
1770,1601
4201,2803
520,2762
1965,2278
1189,861
522,1377
2083,396
1383,3097
3996,3199
2700,3186
2828,3118
1375,6052
3399,1052
1349,1865
1057,2493
8758,623
2534,1489
9880,966
2332,2954
19602,3406
3210,894
3373,776
450,450
1344,6459
2898,4377
16316,934
8789,2007
3738,667
2826,3798
8298,2957
2076,8602
2363,401
5312,4492
1031,1713
5252,362
591,445
909,1718
3981,2454
2712,5185
1464,687
4809,1209
2838,1043
378,1663
2561,972
10575,30530
3215,15842
1586,3630
1735,2675
5169,529
2010,16814
11427,1502
619,1055
967,3335
6161,1980
3813,6616
2639,9085
2923,957
743,2425
577,2054
12750,2203
1502,7967
1004,1285
3280,304
1819,845
8551,851
2480,4784
2029,2665
6099,8301
948,2154
4465,1044
1001,2773
575,8277
5222,1730
3986,1720
3506,1001
6413,8984
911,6029
2087,1316
3944,3804
2692,3300
4657,3683
407,969
3487,5440
3350,10629
3985,3578
979,814
7091,925
330,1397
419,1941
2473,1182
475,4907
1740,719
7631,4023
3819,977
5806,1030
564,4406
1687,10089
2931,548
431,8394
1105,2855
1857,1824
7412,7546
958,11992
379,4826
2150,3276
1491,209
1652,4515
1425,2940
2035,1628
484,1183
1051,1766
10263,1766
9697,916
10704,974
1254,6713
2087,922
1532,2495
2702,2166
1022,7192
835,6648
1695,2997
1216,1106
1607,1986
1516,4817
2227,905
