board,max_depth,number_of_states,number_of_moves
6x6_1,100,582,100
6x6_1,200,462,145
6x6_1,300,462,145
6x6_1,400,462,145
6x6_1,500,462,145
6x6_1,600,462,145
6x6_1,700,462,145
6x6_1,800,462,145
6x6_1,900,462,145
6x6_1,1000,462,145
6x6_1,1100,462,145
6x6_1,1200,462,145
6x6_1,1300,462,145
6x6_1,1400,462,145
6x6_1,1500,462,145
6x6_1,1600,462,145
6x6_1,1700,462,145
6x6_1,1800,462,145
6x6_1,1900,462,145
6x6_1,2000,462,145
6x6_2,100,2877,100
6x6_2,200,820,176
6x6_2,300,820,176
6x6_2,400,820,176
6x6_2,500,820,176
6x6_2,600,820,176
6x6_2,700,820,176
6x6_2,800,820,176
6x6_2,900,820,176
6x6_2,1000,820,176
6x6_2,1100,820,176
6x6_2,1200,820,176
6x6_2,1300,820,176
6x6_2,1400,820,176
6x6_2,1500,820,176
6x6_2,1600,820,176
6x6_2,1700,820,176
6x6_2,1800,820,176
6x6_2,1900,820,176
6x6_2,2000,820,176
6x6_3,100,8676,99
6x6_3,200,8586,199
6x6_3,300,8621,299
6x6_3,400,8539,399
6x6_3,500,8701,499
6x6_3,600,8472,599
6x6_3,700,8122,699
6x6_3,800,8465,799
6x6_3,900,8183,899
6x6_3,1000,6671,999
6x6_3,1100,4097,1060
6x6_3,1200,4097,1060
6x6_3,1300,4097,1060
6x6_3,1400,4097,1060
6x6_3,1500,4097,1060
6x6_3,1600,4097,1060
6x6_3,1700,4097,1060
6x6_3,1800,4097,1060
6x6_3,1900,4097,1060
6x6_3,2000,4097,1060
