board,max_depth,number_of_states,number_of_moves
6x6_1,0,1,0
6x6_1,20,256,0
6x6_1,40,631,40
6x6_1,60,631,60
6x6_1,80,483,80
6x6_1,100,582,100
6x6_1,120,418,120
6x6_1,140,463,140
6x6_1,160,462,145
6x6_1,180,462,145
6x6_1,200,462,145
6x6_1,220,462,145
6x6_1,240,462,145
6x6_1,260,462,145
6x6_1,280,462,145
6x6_1,300,462,145
6x6_1,320,462,145
6x6_1,340,462,145
6x6_1,360,462,145
6x6_1,380,462,145
6x6_1,400,462,145
6x6_1,420,462,145
6x6_1,440,462,145
6x6_1,460,462,145
6x6_1,480,462,145
6x6_1,500,462,145
6x6_1,520,462,145
6x6_1,540,462,145
6x6_1,560,462,145
6x6_1,580,462,145
6x6_1,600,462,145
6x6_1,620,462,145
6x6_1,640,462,145
6x6_1,660,462,145
6x6_1,680,462,145
6x6_1,700,462,145
6x6_1,720,462,145
6x6_1,740,462,145
6x6_1,760,462,145
6x6_1,780,462,145
6x6_1,800,462,145
6x6_1,820,462,145
6x6_1,840,462,145
6x6_1,860,462,145
6x6_1,880,462,145
6x6_1,900,462,145
6x6_1,920,462,145
6x6_1,940,462,145
6x6_1,960,462,145
6x6_1,980,462,145
6x6_1,1000,462,145
6x6_1,1020,462,145
6x6_1,1040,462,145
6x6_1,1060,462,145
6x6_1,1080,462,145
6x6_2,0,1,0
6x6_2,20,1555,0
6x6_2,40,3886,40
6x6_2,60,3511,60
6x6_2,80,1440,80
6x6_2,100,2877,100
6x6_2,120,727,120
6x6_2,140,1092,140
6x6_2,160,751,160
6x6_2,180,820,176
6x6_2,200,820,176
6x6_2,220,820,176
6x6_2,240,820,176
6x6_2,260,820,176
6x6_2,280,820,176
6x6_2,300,820,176
6x6_2,320,820,176
6x6_2,340,820,176
6x6_2,360,820,176
6x6_2,380,820,176
6x6_2,400,820,176
6x6_2,420,820,176
6x6_2,440,820,176
6x6_2,460,820,176
6x6_2,480,820,176
6x6_2,500,820,176
6x6_2,520,820,176
6x6_2,540,820,176
6x6_2,560,820,176
6x6_2,580,820,176
6x6_2,600,820,176
6x6_2,620,820,176
6x6_2,640,820,176
6x6_2,660,820,176
6x6_2,680,820,176
6x6_2,700,820,176
6x6_2,720,820,176
6x6_2,740,820,176
6x6_2,760,820,176
6x6_2,780,820,176
6x6_2,800,820,176
6x6_2,820,820,176
6x6_2,840,820,176
6x6_2,860,820,176
6x6_2,880,820,176
6x6_2,900,820,176
6x6_2,920,820,176
6x6_2,940,820,176
6x6_2,960,820,176
6x6_2,980,820,176
6x6_2,1000,820,176
6x6_2,1020,820,176
6x6_2,1040,820,176
6x6_2,1060,820,176
6x6_2,1080,820,176
6x6_3,0,1,0
6x6_3,20,394,0
6x6_3,40,3081,0
6x6_3,60,5400,0
6x6_3,80,8499,0
6x6_3,100,8676,99
6x6_3,120,8448,119
6x6_3,140,8503,139
6x6_3,160,8527,159
6x6_3,180,8524,179
6x6_3,200,8586,199
6x6_3,220,8636,219
6x6_3,240,8433,239
6x6_3,260,8433,259
6x6_3,280,8468,279
6x6_3,300,8621,299
6x6_3,320,8719,319
6x6_3,340,8713,339
6x6_3,360,8713,359
6x6_3,380,8506,379
6x6_3,400,8539,399
6x6_3,420,8710,419
6x6_3,440,8503,439
6x6_3,460,8567,459
6x6_3,480,8703,479
6x6_3,500,8701,499
6x6_3,520,8560,519
6x6_3,540,8475,539
6x6_3,560,8541,559
6x6_3,580,8622,579
6x6_3,600,8472,599
6x6_3,620,8621,619
6x6_3,640,8302,639
6x6_3,660,8578,659
6x6_3,680,8503,679
6x6_3,700,8122,699
6x6_3,720,8220,719
6x6_3,740,8404,739
6x6_3,760,8261,759
6x6_3,780,8569,779
6x6_3,800,8465,799
6x6_3,820,8433,819
6x6_3,840,8388,839
6x6_3,860,8329,859
6x6_3,880,8205,879
6x6_3,900,8183,899
6x6_3,920,8488,919
6x6_3,940,8130,939
6x6_3,960,6471,959
6x6_3,980,6943,979
6x6_3,1000,6671,999
6x6_3,1020,6443,1019
6x6_3,1040,5195,1040
6x6_3,1060,4097,1060
6x6_3,1080,4097,1060
