total moves random,total moves priority
6907,1917
5227,1246
565,4453
2184,877
3976,2131
3354,3471
15111,2625
6172,5570
883,3041
3152,2362
3350,3979
7141,1659
2702,2304
4802,6120
3154,2064
1176,694
10485,3385
8815,8290
1006,2951
3051,3265
2537,8878
201,1752
3302,10604
4115,3953
673,910
2949,1583
2900,2764
482,9404
3123,718
3583,11062
2176,10827
2062,642
2867,7291
9649,395
2992,22719
2586,1257
15246,12852
4235,4272
8767,2815
816,794
942,4927
1547,11191
3361,10920
938,1463
2331,6583
2530,3634
1905,6406
3606,1126
2317,2714
612,1194
3863,2279
2444,21443
795,13153
2783,8589
2734,13940
506,5444
1066,4697
2578,2701
3901,3070
2547,6111
4132,1991
2095,493
8031,397
2960,2263
646,6055
6310,746
11336,5062
5803,4153
1376,3763
3515,3370
966,6492
2062,1985
771,10124
1876,2763
2284,5784
1772,8065
2458,4599
823,6133
2087,1241
2149,5668
1619,1677
10330,5098
3065,8204
850,466
9141,9961
5622,839
4335,6079
564,2000
1445,4172
10485,5622
2784,785
2965,6699
3493,1580
3231,2124
1821,5872
1085,8950
1960,10119
3185,6527
4340,12960
2987,4140
2362,3945
889,8622
7122,5792
3735,2331
686,4975
11414,8094
6674,2475
1036,13051
10593,10212
1772,6322
4253,2001
887,713
2701,1686
3776,5743
3034,8907
4579,2099
7464,2840
1742,1170
2538,6261
1646,1413
9903,609
2781,1851
931,1617
5044,15012
2278,6318
585,812
5292,6463
1543,790
3973,4244
2491,2375
2550,4967
966,4064
9335,4636
1423,1563
4202,9879
6506,1027
6365,4030
713,2580
1636,5783
504,6423
997,11660
2255,580
1158,452
6012,1883
8174,4717
3435,861
4063,3511
6783,2722
765,2295
6293,5325
2923,6053
1186,17048
11164,5213
4957,464
5380,6340
3534,4144
3719,7219
729,5609
1093,1117
5027,10789
675,9752
971,11554
9503,3042
3448,1285
10544,4035
1790,10159
5549,4207
1613,4209
1488,4045
1544,10421
3976,3924
1700,6070
2690,2373
4366,16780
7714,4731
1522,7010
1266,4705
3585,3951
4462,6877
4780,338
1788,6432
2130,5417
3726,2125
5141,6148
12704,1328
1542,5546
2884,1221
948,2126
1256,5672
2529,2693
2288,13700
406,1279
15125,1771
4786,21229
3712,651
1132,3350
4745,2099
1043,4231
3987,2367
562,988
1350,803
1151,3797
4493,4451
1762,4304
508,5832
5371,5161
3440,12800
882,1807
793,1291
7440,3539
1040,4571
1547,10272
913,1547
425,2639
1782,4383
1055,11034
6527,1424
1573,14771
2758,10499
5235,555
2535,16013
6326,2372
1219,4956
5101,1232
3243,8051
668,3802
4001,4071
3238,10640
7868,2822
758,1924
5497,7919
1937,2900
1101,2913
2719,1049
4115,1493
645,4902
2433,2268
1690,17564
487,982
4690,9253
3300,2108
1196,2653
3439,3940
1484,2105
4033,981
9543,3229
1035,8715
9175,6042
5211,9892
8449,381
2650,4988
2376,1809
1112,3248
3198,10413
3278,1554
4430,2302
3530,2301
1235,9796
3412,2028
6099,4296
4068,10737
3971,697
6587,2653
2951,5436
3532,3819
381,2436
3071,3004
7045,1464
3086,1753
1003,8678
2247,3786
565,822
2810,1615
1487,344
1574,6124
760,2149
2136,2573
12969,3711
627,6387
1255,2891
6598,3747
3013,4482
1742,873
6848,1286
228,4130
9658,415
876,9248
1453,1378
946,2823
1193,1931
3407,4605
689,656
5801,362
1990,2643
4029,7293
3333,9646
