car name,move
A,left
A,left
X,left
X,right
A,right
A,right
A,left
X,left
X,left
X,right
X,left
A,right
C,left
A,left
X,right
X,left
A,left
D,left
A,right
D,right
D,left
D,right
A,left
B,left
H,up
C,right
A,right
C,left
X,right
X,right
X,left
A,left
H,down
X,right
X,left
C,right
A,right
X,right
H,up
C,left
C,right
A,left
H,down
H,up
A,right
X,left
X,left
C,left
A,left
A,right
C,right
X,right
X,right
X,left
A,left
X,left
C,left
H,down
H,up
H,down
A,right
C,right
B,right
A,left
C,left
B,left
H,up
H,down
B,right
B,left
A,right
A,left
B,left
D,left
B,right
X,right
H,up
H,down
X,left
B,right
B,left
X,right
G,up
F,right
X,right
B,left
E,right
B,right
X,left
B,left
G,up
G,down
H,up
X,left
F,right
X,right
X,right
G,up
X,left
G,down
X,right
E,left
B,right
X,left
K,up
X,left
B,left
X,right
X,left
K,up
L,left
E,right
L,right
G,up
J,up
J,down
G,down
L,left
L,left
L,right
I,left
E,left
E,right
L,right
G,up
X,right
I,right
G,down
J,up
G,up
L,left
X,left
L,right
I,left
I,right
G,down
G,up
I,left
J,down
I,left
J,up
X,right
I,left
L,left
J,up
G,down
L,left
L,right
G,up
I,right
I,left
L,left
I,right
I,left
K,down
L,left
K,down
L,left
X,right
K,up
X,right
L,right
L,right
L,right
L,right
K,down
X,left
G,down
X,left
K,up
X,right
L,left
L,right
J,down
X,left
J,down
X,left
X,right
X,left
X,right
X,left
L,left
X,right
X,left
J,up
K,up
L,left
L,left
L,left
L,right
X,right
X,left
G,up
L,right
I,right
G,down
X,right
L,left
I,right
G,up
J,up
L,left
L,right
J,down
G,down
I,right
J,down
L,right
K,down
L,right
L,left
J,up
J,up
J,down
L,left
L,left
B,right
K,down
J,up
L,right
J,down
K,up
J,up
L,left
L,right
K,down
X,right
K,up
B,left
L,right
J,down
G,up
L,right
X,left
G,down
J,down
G,up
L,left
G,down
L,left
B,right
B,left
X,left
B,right
X,right
K,down
E,right
B,left
X,right
E,left
X,left
X,left
G,up
E,left
G,down
G,up
X,right
G,down
K,up
G,up
K,up
L,right
L,right
G,down
L,left
K,down
X,right
G,up
E,right
L,left
L,right
L,left
G,down
B,right
B,left
X,left
X,left
G,up
X,right
X,left
K,up
I,left
G,down
G,up
I,left
G,down
I,right
B,right
E,left
I,left
I,right
I,right
X,right
X,left
E,right
X,right
K,down
K,up
J,up
X,left
I,left
I,right
K,down
L,left
K,up
A,right
L,right
K,down
L,right
K,up
K,down
L,left
X,right
K,down
L,left
X,right
A,left
B,left
K,up
J,up
J,down
X,left
X,left
K,down
G,up
F,left
G,down
G,up
