car name,move
C,left
X,left
X,left
C,right
C,left
A,left
A,left
A,right
A,left
B,left
X,right
C,right
X,right
C,left
B,left
B,right
B,left
H,up
H,down
X,left
X,left
C,right
B,right
B,left
H,up
C,left
H,down
C,right
H,up
H,down
C,left
X,right
H,up
C,right
H,down
B,right
X,left
B,right
B,left
B,right
X,right
C,left
X,right
B,left
X,left
X,right
A,right
X,left
B,right
B,left
B,right
A,left
B,left
C,right
X,right
C,left
H,up
D,left
H,down
H,up
X,left
G,up
X,left
X,right
X,right
G,down
X,left
A,right
G,up
X,left
F,right
X,right
X,right
X,left
X,left
H,down
X,right
A,left
X,right
B,right
E,right
X,left
B,left
B,left
X,left
X,right
E,left
B,right
X,left
B,left
H,up
H,down
B,right
F,left
X,right
B,left
G,up
X,right
H,up
X,left
X,right
G,down
G,up
H,down
X,left
X,left
G,down
G,down
X,right
X,left
X,right
X,right
X,left
D,right
H,up
B,right
D,left
D,right
D,left
H,down
A,right
X,right
X,left
A,left
A,right
G,up
A,left
A,right
H,up
X,left
X,right
G,down
H,down
H,up
A,left
X,right
H,down
B,left
X,left
X,right
G,up
F,right
H,up
X,left
X,left
H,down
F,left
G,down
G,up
F,right
H,up
B,right
A,right
H,down
H,up
H,down
F,left
X,right
H,up
X,right
X,left
X,left
G,down
D,right
C,right
A,left
X,right
A,right
X,left
A,left
X,right
X,left
X,right
X,left
C,left
H,down
B,left
H,up
B,right
X,right
C,right
A,right
C,left
X,right
A,left
D,left
H,down
G,up
H,up
F,right
B,left
F,right
E,right
K,up
X,left
X,left
K,up
X,right
X,left
L,left
X,right
J,up
L,right
J,down
I,left
X,left
I,left
I,left
L,left
B,right
K,down
A,right
X,right
A,left
B,left
E,left
X,left
X,right
L,left
X,left
B,right
X,right
L,right
K,up
B,left
X,left
X,right
B,right
K,down
L,right
K,up
K,down
K,up
L,left
I,right
B,left
I,right
I,left
X,left
I,right
L,right
L,left
E,right
L,right
I,right
K,down
K,down
F,left
B,right
X,right
B,left
X,left
X,right
B,right
H,down
X,right
X,left
H,up
X,right
J,up
J,down
X,left
X,right
X,left
X,right
X,left
H,down
J,up
B,left
X,right
B,right
X,left
H,up
A,right
X,right
X,left
X,right
H,down
J,down
X,left
A,left
A,right
B,right
B,left
E,left
F,left
F,right
A,left
H,up
F,right
X,right
X,left
B,left
G,up
G,down
X,right
E,right
X,left
X,right
X,left
X,left
G,up
E,left
G,down
K,up
X,right
X,left
X,right
E,right
L,left
K,up
K,down
K,up
E,left
E,right
I,left
I,left
I,left
X,left
L,left
I,right
E,left
E,right
L,right
L,right
X,right
L,left
L,right
X,left
J,up
J,down
G,up
I,right
I,right
X,right
E,left
K,down
X,left
K,up
X,right
X,left
E,right
K,down
G,down
E,left
E,right
L,left
J,up
L,left
X,right
J,up
J,down
L,left
L,left
B,right
K,down
F,left
L,right
A,right
X,right
X,left
X,right
A,left
J,up
J,down
H,down
X,left
H,up
B,left
F,right
F,left
X,right
H,down
J,up
J,down
G,up
X,left
H,up
L,left
X,left
G,down
H,down
H,up
H,down
H,up
L,right
X,right
J,up
H,down
L,left
L,right
L,left
J,down
X,right
L,right
L,left
G,up
L,right
X,left
X,right
H,up
J,up
X,left
G,down
H,down
X,right
X,left
B,right
B,right
J,down
A,right
X,right
X,left
A,left
A,right
X,right
X,left
A,right
A,left
A,left
A,right
A,right
X,left
A,left
A,left
A,right
A,right
J,down
J,up
L,left
A,left
X,right
A,right
J,up
X,right
X,left
X,right
J,down
L,right
A,left
L,left
J,up
A,right
J,down
J,up
L,right
J,down
X,left
A,left
L,left
A,left
A,right
A,left
B,left
L,right
J,down
X,left
X,right
X,left
B,right
A,right
E,left
F,left
A,right
F,right
A,left
A,left
F,left
X,right
B,left
B,right
X,left
F,right
A,right
B,left
F,left
X,right
F,right
A,left
F,left
H,up
H,down
B,left
X,left
G,up
G,down
G,down
H,up
H,down
B,right
G,up
B,left
H,up
F,right
E,right
X,right
X,left
H,down
E,left
E,right
H,up
F,right
E,right
E,left
E,right
J,up
E,left
F,left
G,up
X,right
J,up
L,left
J,down
G,down
X,right
X,left
L,right
X,right
G,up
G,down
X,left
L,left
J,up
L,right
H,down
J,down
X,right
X,left
G,up
X,right
J,up
L,left
X,left
H,up
X,right
F,right
K,up
X,right
K,down
L,right
L,left
L,right
L,left
J,down
J,up
L,right
X,left
J,down
J,up
E,right
X,left
J,down
X,right
J,up
E,left
J,down
L,left
L,right
X,left
G,down
