car name,move
X,left
X,right
C,left
A,left
A,left
X,left
X,right
C,right
C,left
D,left
G,up
F,right
B,left
H,up
B,left
B,right
E,right
X,left
J,up
X,right
J,up
X,left
X,right
X,left
B,left
X,right
X,left
X,right
J,down
F,right
B,right
B,left
B,right
J,up
K,up
A,right
K,down
X,left
X,right
X,left
X,right
J,down
J,up
K,up
X,left
X,right
X,left
K,up
I,left
I,left
L,left
A,left
I,left
L,right
I,left
K,down
X,right
X,left
X,right
A,right
X,left
X,right
A,left
X,left
K,up
L,left
L,right
I,right
A,right
J,down
J,down
L,left
A,left
X,left
X,right
L,left
B,left
L,right
X,left
L,left
X,right
X,left
X,right
G,up
K,down
X,right
X,right
J,up
L,left
J,down
E,left
E,right
X,left
X,right
E,left
X,left
X,right
K,down
F,left
X,left
X,right
X,left
X,right
E,right
H,down
E,left
F,left
H,down
H,up
X,left
X,left
X,right
X,right
X,left
X,right
F,right
H,down
H,down
X,right
