car name,move
X,left
X,left
C,left
D,left
X,right
G,up
F,right
E,right
G,down
J,up
X,right
X,right
J,up
X,left
C,right
J,up
X,right
D,left
G,up
F,right
E,right
G,down
X,left
C,right
A,left
B,left
J,down
C,left
J,down
J,down
X,right
C,right
H,up
X,left
X,left
C,left
D,left
X,right
G,up
F,right
F,right
K,up
L,left
L,left
L,left
K,down
L,right
H,down
E,right
L,right
J,up
E,right
X,right
X,right
J,up
J,down
E,left
F,left
G,down
X,right
C,right
B,left
E,right
X,right
C,right
H,up
J,up
X,right
J,up
C,left
D,left
J,down
G,up
J,down
F,right
F,right
K,up
L,left
L,left
L,left
K,down
L,right
H,down
E,right
L,right
E,left
E,right
G,down
J,up
X,right
X,right
J,up
J,down
C,right
B,right
A,right
J,up
X,left
X,left
C,left
D,left
J,down
E,left
G,up
G,down
E,right
J,up
X,right
J,up
X,right
X,right
C,left
D,left
X,left
G,up
F,right
J,down
J,down
F,right
K,up
L,left
L,left
L,left
K,down
L,right
H,down
E,right
L,right
J,up
F,left
G,down
X,right
X,right
J,up
J,down
J,down
G,up
G,down
X,right
D,right
J,up
X,left
C,right
J,up
X,right
C,right
A,left
B,left
X,left
B,right
E,right
A,right
X,left
J,down
C,left
D,left
J,down
G,up
G,down
E,right
D,left
H,down
X,right
F,right
J,down
F,right
J,down
E,left
X,right
C,right
H,up
F,right
K,up
L,left
L,left
L,left
K,down
L,right
H,down
E,right
L,right
J,up
J,up
C,right
X,left
J,up
E,left
F,left
G,down
E,right
J,down
J,down
J,down
X,left
X,left
C,right
H,up
E,right
H,down
J,up
X,right
J,up
E,right
J,down
X,right
C,left
D,left
J,down
E,left
H,up
X,right
E,right
J,up
F,left
H,down
J,up
F,right
C,right
J,down
H,up
F,right
K,up
L,left
L,left
L,left
K,down
E,right
L,right
J,down
X,left
X,left
C,left
D,left
L,right
E,left
K,up
L,left
L,left
L,left
E,left
K,down
F,left
L,right
H,down
K,up
L,right
J,up
K,up
I,left
L,left
L,left
