car name,move
V,down
U,right
Q,down
V,up
M,down
U,left
V,down
P,right
U,right
O,right
Z,up
Y,right
Y,right
Y,right
Y,right
Z,down
Q,down
U,left
R,left
N,down
U,right
Z,up
Y,left
Y,left
Y,left
U,left
W,up
Y,right
Y,right
Y,right
K,down
Z,down
U,right
O,left
W,down
U,left
P,left
V,up
Y,right
U,right
W,up
Y,left
V,up
W,down
U,right
Y,right
W,up
J,down
Y,left
N,up
W,down
Y,right
U,left
V,down
Y,left
V,down
U,left
R,right
Q,up
U,right
V,up
Y,right
U,left
Q,down
W,up
Y,left
U,right
V,down
P,right
W,down
O,right
U,left
Q,up
J,down
U,right
Q,up
T,left
U,left
W,up
T,right
J,up
U,right
Q,down
Z,up
Y,left
Y,left
Y,left
Q,down
W,down
Y,right
Y,right
U,left
Q,up
Y,left
Y,left
Y,left
Z,down
U,right
J,down
Q,up
U,left
T,left
W,up
Y,left
U,right
T,right
Q,down
U,left
Y,right
M,up
W,down
G,down
U,right
Q,up
T,left
U,left
W,up
Y,left
U,right
T,right
Q,down
U,left
J,up
Y,right
U,right
Z,up
Y,right
Y,right
Y,right
Y,right
Z,down
Q,down
W,down
U,left
Q,up
J,down
U,right
Q,up
T,left
U,left
W,up
T,right
J,up
Z,up
Y,left
Y,left
Y,left
Y,left
W,down
Z,down
O,left
U,right
Q,down
P,left
U,left
V,up
M,down
U,right
Q,up
V,down
U,left
T,left
V,up
W,up
Y,left
V,down
U,right
Y,right
P,right
W,down
O,right
U,left
Z,up
Y,right
Y,right
Y,right
Y,right
Z,down
U,right
T,right
Q,down
Z,up
Y,left
Y,left
Y,left
Y,left
Q,up
W,up
Z,down
Y,left
U,left
T,left
Z,up
U,right
M,up
Y,right
Z,down
I,left
W,down
U,left
Z,up
Y,right
Y,right
Y,right
Y,right
Z,down
U,right
T,right
Q,down
Z,up
Y,left
Y,left
Y,left
Q,down
U,left
Y,right
Y,right
Y,right
R,left
Z,down
U,right
N,down
J,down
U,left
M,down
W,up
U,right
J,up
Z,up
Y,left
Y,left
Y,left
W,down
U,left
Y,right
Y,right
Y,right
I,right
Z,down
U,right
J,down
N,up
U,left
R,right
W,up
U,right
Q,up
Q,up
T,left
I,left
W,down
U,left
T,right
Q,down
U,right
Q,down
J,up
U,left
O,left
Q,up
U,right
P,left
Q,down
R,left
U,left
N,down
V,up
Y,right
U,right
W,up
Y,left
V,down
M,up
W,down
V,up
V,up
Y,right
U,right
M,down
Y,left
W,up
N,up
Y,right
U,left
W,down
Y,left
U,left
R,right
Y,right
V,down
U,right
Q,up
Q,up
Y,left
U,left
V,down
T,left
U,right
P,right
W,up
U,left
T,right
O,right
U,right
Q,down
Z,up
Y,left
Y,left
Y,left
Q,down
U,left
Y,right
Y,right
Y,right
R,left
Z,down
O,left
U,right
R,right
M,up
W,down
K,up
U,left
Q,up
O,right
J,down
Q,down
U,right
R,left
M,down
U,left
W,up
R,right
U,right
Q,up
Q,up
W,down
J,up
U,left
T,left
Z,up
Y,left
Y,left
Y,left
Y,left
Z,down
U,right
T,right
Q,down
U,left
J,down
Q,up
W,up
Y,left
U,right
Q,down
Y,right
K,down
W,down
Q,up
T,left
U,left
W,up
Y,left
U,right
J,up
O,left
U,left
Y,right
W,down
T,right
U,right
Q,down
P,left
U,left
W,up
Y,left
U,right
V,up
Y,right
Q,up
V,down
M,up
W,down
U,left
T,left
V,up
U,right
M,down
V,down
K,up
U,left
T,right
V,up
U,right
Q,down
V,up
U,right
Q,up
T,left
U,left
U,left
W,up
Y,left
V,down
V,down
U,right
T,right
V,up
V,up
Y,right
M,up
W,down
U,left
Q,down
V,down
V,down
U,right
P,right
Q,up
U,left
T,left
W,up
Y,left
U,right
T,right
Q,down
U,left
Y,right
O,right
U,right
Z,up
Y,right
Y,right
Y,right
Y,right
Z,down
Q,down
U,left
R,left
N,down
W,down
Z,up
Y,left
Y,left
Y,left
U,right
W,up
Y,right
Y,right
Y,right
N,up
W,down
Y,left
Y,left
R,right
M,down
Y,right
Y,right
U,left
Q,up
Y,left
Y,left
Y,left
Q,down
R,left
Y,right
Y,right
W,up
U,right
Y,left
Y,left
I,right
W,down
Y,right
Y,right
Y,right
Z,down
U,left
R,right
Q,up
J,down
U,right
Q,down
D,down
U,left
R,left
N,down
U,right
W,up
K,down
U,left
D,down
W,down
U,right
N,up
R,right
U,left
Q,up
Q,up
U,right
T,left
W,up
U,left
M,up
W,down
I,left
U,right
T,right
Q,down
Q,down
U,left
R,left
N,down
U,right
W,up
M,down
N,up
U,left
R,right
Q,up
U,right
Q,up
K,up
W,down
U,left
Q,down
Q,down
U,right
R,left
N,down
U,left
W,up
M,up
N,up
U,right
R,right
Q,up
U,left
Q,up
T,left
U,right
I,right
W,down
T,right
U,left
Q,down
Q,down
U,right
R,left
N,down
U,left
H,left
M,down
U,right
W,up
K,down
N,up
U,left
W,down
M,up
U,right
N,down
D,up
U,left
M,down
J,up
U,right
Z,up
Y,left
Y,left
Y,left
U,left
W,up
Y,right
Y,right
Y,right
N,up
Z,down
U,right
R,right
W,down
U,left
Q,up
J,down
U,right
Q,up
T,left
U,left
W,up
T,right
D,down
U,right
Q,down
M,up
Q,down
U,left
I,left
Q,up
W,down
M,down
Q,down
U,right
R,left
N,down
U,left
W,up
M,up
I,right
C,right
W,down
M,down
U,right
N,up
R,right
U,left
Q,up
Q,up
U,right
T,left
W,up
U,left
M,up
W,down
I,left
U,right
T,right
Q,down
Q,down
U,left
R,left
M,down
W,up
U,right
N,down
M,up
W,down
K,up
U,left
M,down
W,up
I,right
N,up
W,down
M,up
U,right
R,right
Q,up
U,left
Q,up
W,up
U,right
T,left
W,down
N,up
U,left
M,down
T,right
U,right
Q,down
Q,down
U,left
W,up
Q,up
N,down
U,right
Q,down
I,left
W,down
U,left
Q,up
Q,up
U,right
T,left
W,up
U,left
M,up
N,up
U,right
T,right
W,down
U,left
Q,down
Q,down
U,right
R,left
M,down
U,left
W,up
M,up
N,down
U,right
G,up
W,down
U,left
R,right
Q,up
U,right
M,down
W,up
U,left
Q,down
R,left
H,right
W,down
U,right
N,down
W,up
K,down
U,left
W,down
M,up
U,right
N,up
R,right
U,left
Q,up
M,down
U,right
Q,up
T,left
U,left
W,up
T,right
M,up
U,right
Q,down
G,down
Q,down
U,left
R,left
N,down
I,left
W,down
U,right
M,down
W,up
N,up
U,left
W,down
R,right
U,right
Q,up
Q,up
U,left
T,left
W,up
U,right
M,up
W,down
F,down
U,left
T,right
Q,down
Q,down
U,right
R,left
M,down
H,left
U,left
N,down
W,up
U,right
M,up
W,down
C,left
U,left
W,up
N,up
U,right
R,right
W,down
U,left
Q,up
M,down
U,right
Q,up
T,left
U,left
W,up
T,right
M,up
U,right
T,left
N,up
W,down
U,left
T,right
M,down
D,up
U,right
Q,down
Q,down
U,left
R,left
N,down
U,right
N,down
W,up
U,left
J,up
W,down
Z,up
Y,left
Y,left
Y,left
U,right
W,up
Y,right
Y,right
Y,right
N,up
Z,down
R,right
W,down
U,left
Q,up
Z,up
Y,left
Y,left
Y,left
Q,down
U,right
Y,right
Y,right
R,left
M,up
Y,right
Z,down
U,left
O,left
N,down
U,right
P,left
V,up
Y,right
U,left
M,down
Y,left
V,down
W,up
U,right
V,up
Y,right
V,up
W,down
Y,left
U,right
W,up
N,up
Y,right
W,down
R,right
Y,left
U,left
V,down
V,down
U,left
Q,up
V,up
Y,right
Q,down
W,up
Y,left
R,left
V,up
Y,right
W,down
M,up
Y,left
V,down
R,right
N,up
V,down
U,right
Q,up
V,up
Y,right
Q,down
R,left
Y,left
O,left
V,down
U,left
P,right
R,right
U,right
Q,up
K,down
U,left
P,left
Q,down
U,right
V,up
Y,right
U,left
Q,up
M,down
Y,left
Q,down
R,left
V,down
U,right
P,right
R,right
U,left
W,up
Q,up
U,right
P,left
Q,down
V,up
Y,right
U,left
R,left
V,up
Y,left
U,right
W,down
Y,right
V,down
K,up
U,left
R,right
P,left
Y,left
V,down
U,right
Q,up
V,up
Y,right
P,right
Q,up
Y,left
V,down
U,left
Q,down
P,right
O,right
Q,down
U,right
R,left
O,right
Z,up
U,left
Y,left
Y,left
Y,left
U,right
W,up
Y,right
Y,right
R,right
Y,right
U,left
Z,down
Q,up
U,right
O,left
P,left
Q,down
U,left
R,left
W,down
V,up
V,up
U,right
Y,right
R,right
U,left
Q,up
Y,left
U,right
U,right
Y,right
O,left
Q,down
Y,left
U,left
V,down
G,up
V,down
U,left
R,left
V,up
P,left
Y,right
U,right
R,right
W,up
Y,left
V,down
U,left
Q,up
W,down
V,up
Y,right
P,right
O,right
Y,left
V,down
U,right
P,right
O,right
Q,down
U,left
R,left
O,left
N,down
U,right
N,down
O,right
Z,up
Y,left
Y,left
N,up
Y,left
U,left
W,up
Y,right
Y,right
Y,right
Z,down
R,right
Q,up
U,right
J,down
Q,down
W,down
U,left
Q,up
Q,up
U,right
T,left
W,up
U,left
J,up
W,down
Z,up
Y,left
Y,left
Y,left
Y,left
Z,down
U,right
T,right
Q,down
U,left
J,down
Q,up
W,up
Y,left
U,right
Q,down
Y,right
D,down
W,down
Q,up
T,left
U,left
W,up
Y,left
U,right
M,up
Y,right
T,right
U,left
W,down
Q,down
G,down
U,right
Q,up
T,left
U,left
W,up
Y,left
T,right
U,right
Q,down
M,down
U,left
Y,right
Q,up
W,down
N,up
U,right
Q,down
W,up
M,up
U,left
Y,left
D,up
U,right
M,down
Q,up
Y,right
U,left
Q,down
W,down
J,up
U,right
Z,up
Y,right
Y,right
Y,right
Y,right
Q,up
U,left
Y,left
Y,left
Y,left
Y,left
T,left
Z,down
U,right
J,down
N,down
U,left
W,up
Y,left
U,right
J,up
Y,right
T,right
U,left
W,down
O,left
U,right
Q,down
P,left
U,left
V,up
Q,up
U,right
T,left
V,down
U,left
W,up
Y,left
U,right
T,right
Y,right
M,up
W,down
U,left
N,up
Q,down
U,right
V,up
N,down
W,up
Y,left
V,down
U,left
Y,right
P,right
W,down
O,right
U,right
Z,up
Y,right
Y,right
Y,right
Y,right
Z,down
J,down
Q,up
U,left
T,left
W,up
J,up
U,right
W,down
Z,up
Y,left
Y,left
Y,left
Y,left
Z,down
U,left
O,left
W,up
Y,left
U,right
T,right
O,right
U,left
Q,down
Z,up
Y,right
Y,right
Y,right
Y,right
Y,right
Z,down
Q,down
J,down
M,down
Q,up
H,right
W,down
Q,down
U,right
W,up
R,left
U,left
D,down
W,down
N,down
U,right
W,up
M,up
D,up
W,down
U,left
J,up
Z,up
Y,left
Y,left
Y,left
U,right
W,up
Y,right
Y,right
Y,right
N,up
Z,down
U,left
O,left
N,down
U,right
P,left
V,up
Y,right
U,left
M,down
Y,left
V,up
W,down
Y,right
M,up
U,right
Y,left
U,right
W,up
Y,right
M,down
W,down
G,up
Y,left
U,left
V,down
V,down
U,left
P,right
O,right
J,down
U,right
W,up
J,up
Z,up
Y,left
Y,left
Y,left
W,down
U,left
Y,right
Y,right
N,up
Y,right
U,right
Z,down
R,right
U,left
Q,up
Z,up
Y,left
Y,left
Y,left
Q,down
U,right
Y,right
Y,right
W,up
Y,right
U,left
M,up
Z,down
U,right
Q,up
W,down
J,down
Q,down
U,left
R,left
W,up
U,right
D,down
W,down
N,down
U,left
W,up
M,down
H,left
W,down
U,right
N,up
W,up
N,up
U,left
W,down
R,right
U,right
Q,up
Q,up
T,left
U,left
W,up
T,right
Q,down
N,down
Q,down
M,up
N,up
U,right
Q,up
N,down
W,down
Q,up
U,left
T,left
W,up
H,right
U,right
W,down
M,down
U,left
T,right
Q,down
Q,down
U,right
W,up
Q,up
Q,up
G,down
T,left
D,up
W,down
U,left
J,up
T,right
U,right
Q,down
Z,up
Y,left
Y,left
Y,left
Y,left
Z,down
U,left
J,down
Q,up
U,right
W,up
Y,left
U,left
Q,down
J,up
U,right
Z,up
Q,up
Y,right
Y,right
Y,right
Y,right
Y,right
U,left
Q,down
Y,left
Y,left
Y,left
Q,down
U,right
Y,right
R,left
Y,right
U,left
Y,right
N,down
C,left
Z,down
W,down
U,right
J,down
W,up
F,up
U,left
W,down
D,down
U,right
N,up
R,right
U,left
Q,up
Q,up
U,right
T,left
W,up
U,left
M,up
W,down
F,down
U,right
T,right
Q,down
Q,down
U,left
R,left
N,down
U,right
E,left
M,down
U,left
W,up
N,up
U,right
R,right
W,down
U,left
Q,up
Q,up
U,right
T,left
W,up
U,left
M,up
T,right
U,right
Q,down
H,left
Q,down
W,down
U,left
Q,up
Q,up
U,right
T,left
W,up
N,up
U,left
W,down
M,down
U,right
T,right
Q,down
Q,down
U,left
R,left
N,down
U,right
E,right
N,down
U,left
W,up
N,up
R,right
W,down
D,up
U,right
Q,up
Q,up
U,left
T,left
W,up
U,right
D,down
T,right
Q,down
N,up
Q,down
R,left
M,up
W,down
U,left
R,right
Q,up
U,right
Q,up
W,up
U,left
M,down
T,left
N,up
W,down
U,right
T,right
Q,down
Q,down
U,left
R,left
W,up
M,up
R,right
U,right
Q,up
D,up
W,down
Q,down
U,left
R,left
J,up
U,right
Z,up
Y,left
Y,left
Y,left
U,left
R,right
Y,right
Y,right
Y,right
Q,up
Z,down
O,left
Q,down
U,right
P,left
Q,up
V,up
Y,right
Q,down
U,left
Y,left
R,left
V,down
O,left
U,right
V,up
Y,right
U,left
K,down
Y,left
R,right
V,down
U,right
Q,up
V,up
Y,right
Q,down
M,down
Y,left
R,left
V,down
U,left
P,right
R,right
U,right
Q,up
Q,up
U,left
T,left
P,left
U,right
V,up
Y,right
U,left
T,right
Y,left
Q,down
V,down
W,up
Q,down
U,right
K,up
W,down
U,left
V,up
Y,right
Q,up
U,right
Y,left
P,left
V,down
U,left
Q,up
