car name,move
X,left
X,left
C,left
D,left
X,right
X,right
G,up
F,right
E,right
J,up
X,left
J,up
A,left
X,right
B,left
J,down
J,down
E,left
F,left
G,down
X,left
X,left
G,up
F,right
E,right
J,up
H,up
F,right
J,down
K,up
L,left
L,left
L,left
K,down
E,right
J,up
L,left
E,left
K,up
K,up
L,right
L,right
L,right
L,right
I,left
J,down
L,left
L,left
L,left
I,left
I,left
L,right
L,right
L,right
K,down
K,down
E,right
J,up
X,right
E,left
K,up
L,left
L,left
L,left
K,down
J,down
E,right
X,right
J,up
L,left
E,left
K,up
J,up
L,right
K,down
I,left
L,left
E,right
X,left
L,right
I,right
A,left
L,left
J,down
E,left
K,up
K,up
L,right
L,right
L,right
L,right
J,down
K,down
K,down
E,right
X,right
J,up
E,left
K,up
L,left
L,left
L,left
K,down
J,down
F,left
H,down
H,down
H,down
J,up
L,left
H,up
X,left
L,right
J,up
H,down
L,left
I,left
H,up
X,right
L,right
H,down
B,right
L,left
I,right
H,up
L,right
J,down
H,up
L,left
X,left
J,up
L,right
I,left
H,down
A,right
H,down
L,left
I,right
J,down
L,right
J,down
E,left
F,left
G,down
G,down
G,down
F,right
E,right
J,up
L,left
H,up
X,right
L,right
J,down
E,left
F,left
G,up
G,up
H,up
X,left
G,down
G,down
F,right
E,right
J,up
J,up
L,left
I,left
H,down
H,down
L,right
X,right
I,right
L,left
X,right
X,right
