car name,move
J,left
I,down
I,down
H,right
E,down
C,right
A,left
B,left
C,left
E,up
H,left
I,up
I,up
J,right
C,left
G,up
J,left
I,down
I,down
H,right
E,down
L,up
D,left
B,right
L,down
F,right
K,up
D,right
E,up
K,down
F,right
G,up
K,up
X,right
F,left
K,down
E,down
F,left
L,up
X,left
L,up
J,left
J,left
E,down
E,down
H,left
I,up
I,up
D,left
I,up
H,right
E,up
E,up
J,right
J,right
J,right
E,down
E,down
L,down
L,down
E,up
F,right
K,up
E,down
F,right
K,down
G,down
F,left
H,left
I,down
K,up
D,right
G,up
K,down
F,left
L,up
G,down
D,left
I,up
A,right
L,down
I,down
G,down
D,right
A,left
B,left
D,left
I,up
G,up
H,left
B,right
G,up
X,right
H,right
X,right
X,right
G,down
B,left
I,up
X,right
