car name,move
X,left
A,left
X,right
A,right
A,left
X,left
X,left
A,right
A,left
C,left
A,left
X,right
A,right
A,left
C,right
X,left
C,left
B,left
B,left
X,right
X,left
X,right
B,right
X,right
B,left
H,up
D,left
B,right
G,up
B,left
H,down
G,down
X,left
X,left
B,right
B,left
B,right
B,right
B,left
A,right
A,left
G,up
F,right
X,right
B,left
X,left
H,up
X,right
H,down
H,up
X,right
F,right
G,up
F,left
X,right
F,left
H,down
F,right
X,left
F,left
G,down
F,right
B,right
B,right
E,right
X,left
X,right
X,left
X,right
A,right
X,left
X,left
X,right
E,left
B,left
X,right
E,right
E,left
F,left
X,left
X,right
A,left
X,left
X,right
X,left
B,right
A,right
G,down
X,left
D,right
A,left
B,left
D,left
G,up
G,down
G,up
X,right
A,right
X,right
A,left
X,left
H,up
B,left
G,up
X,left
H,down
F,right
E,right
G,down
J,up
J,down
J,up
B,right
J,down
X,right
E,left
B,left
H,up
X,left
E,right
B,right
A,right
X,right
H,down
E,left
B,right
A,left
A,right
X,left
F,left
A,right
X,right
G,down
A,left
B,left
X,right
X,left
A,left
X,left
B,right
A,right
A,left
A,right
X,right
X,left
A,left
G,up
B,left
A,right
X,right
A,left
B,left
G,up
G,down
X,right
G,down
H,up
D,right
C,right
X,left
X,left
C,left
X,right
H,down
X,left
X,right
X,right
B,right
A,right
C,right
B,right
X,left
X,left
C,left
B,left
A,left
B,left
X,right
C,right
H,up
X,right
H,down
C,left
C,right
X,left
C,left
X,right
D,left
H,up
G,up
X,left
H,down
H,up
F,right
F,left
X,right
H,down
G,up
F,right
G,down
X,left
E,right
E,left
E,right
X,left
H,up
G,up
X,right
X,left
G,down
F,right
K,up
K,up
E,left
E,right
G,up
J,up
K,down
K,down
G,down
K,up
L,left
L,left
B,right
L,right
L,right
B,left
J,down
B,right
B,left
J,up
X,right
L,left
L,right
K,up
I,left
I,right
L,left
L,left
J,down
I,left
G,up
G,down
X,left
E,left
G,up
I,right
L,right
L,right
G,down
B,right
E,right
X,right
X,left
A,right
L,left
L,left
L,left
L,right
L,left
L,right
E,left
K,down
E,right
K,up
L,left
A,left
L,right
L,left
A,right
L,right
L,left
L,right
A,left
E,left
L,right
K,down
L,right
E,right
K,up
X,right
X,left
K,down
E,left
L,left
L,right
E,right
K,up
B,left
K,down
X,right
K,up
J,up
L,left
G,up
L,left
L,right
K,down
L,right
X,right
J,down
J,up
X,left
L,left
L,right
J,down
X,left
K,up
L,left
L,right
E,left
I,left
I,left
X,right
L,left
E,right
L,left
G,down
E,left
E,right
L,left
L,right
L,right
E,left
I,right
E,right
L,left
E,left
E,right
E,left
X,left
X,right
E,right
L,left
L,right
X,left
L,left
J,up
L,right
L,right
L,left
X,right
G,up
J,down
L,left
G,down
G,up
I,right
L,right
I,left
L,right
X,left
E,left
L,right
X,right
L,left
I,left
G,down
E,right
J,up
X,left
L,left
I,right
L,left
I,left
G,up
I,left
L,right
X,right
I,right
G,down
L,right
L,right
J,up
L,left
L,left
L,left
L,left
G,up
G,down
L,right
J,down
I,right
J,down
X,left
G,up
L,right
L,left
I,right
L,right
K,down
G,down
L,right
E,left
L,left
K,up
E,right
X,right
X,left
E,left
E,right
X,right
X,left
X,right
L,left
G,up
J,up
X,left
J,down
X,right
L,right
E,left
G,down
X,left
E,right
E,left
G,up
L,left
X,right
L,right
E,right
E,left
L,left
E,right
E,left
L,right
I,left
L,right
L,right
I,left
E,right
I,right
I,right
G,down
I,left
X,left
G,up
E,left
I,left
L,left
I,left
K,down
E,right
X,right
L,right
J,up
L,left
J,down
E,left
E,right
L,right
J,up
J,down
K,down
G,down
E,left
X,right
E,right
B,right
E,left
X,left
F,left
X,left
E,right
X,right
F,right
X,right
X,left
X,right
B,left
J,up
X,left
J,up
X,right
J,down
F,left
F,right
J,up
G,up
X,left
I,left
G,down
K,up
I,right
X,right
B,right
I,left
X,left
I,right
L,left
J,down
L,left
J,down
L,left
J,up
L,left
K,down
K,up
L,right
L,left
X,left
X,right
J,up
K,down
L,right
X,right
F,left
H,down
B,left
H,down
H,down
G,up
X,right
J,down
J,up
X,left
X,left
X,right
X,right
H,up
L,left
H,down
L,right
I,left
X,right
