car name,move
J,left
I,down
I,down
H,right
E,down
C,right
A,left
B,left
C,left
E,up
H,left
I,up
C,left
G,up
I,down
H,right
E,down
L,up
D,left
B,right
G,up
X,right
L,down
F,right
K,up
K,up
D,right
E,up
K,down
K,down
F,right
X,left
K,up
G,down
F,left
K,down
E,down
G,up
F,left
E,up
H,left
X,right
I,up
L,up
X,left
I,up
L,up
J,left
I,down
I,down
J,right
H,right
E,down
J,left
J,left
E,down
E,down
H,left
I,up
D,left
I,up
I,up
H,right
E,up
E,up
J,right
J,right
L,down
X,right
L,down
J,right
E,down
X,right
X,right
E,down
H,left
I,down
L,up
G,down
I,up
H,right
E,up
A,right
L,down
E,down
H,left
I,down
G,down
D,right
C,right
C,right
A,left
B,left
C,left
D,left
I,up
I,up
X,right
