car name,move
C,left
C,right
C,left
D,left
A,left
A,right
A,left
A,left
A,right
B,left
X,left
X,right
B,right
X,left
A,left
X,right
D,right
A,right
A,left
X,left
X,right
D,left
B,left
X,left
X,right
A,right
H,up
A,left
G,up
F,right
F,right
E,right
X,left
E,left
X,left
X,right
X,right
X,left
X,right
E,right
A,right
E,left
E,right
A,left
A,right
K,up
X,left
X,right
A,left
L,left
L,right
L,left
B,left
B,right
X,left
X,right
L,left
X,left
X,right
L,left
J,up
X,left
K,up
A,right
L,right
I,left
I,left
A,left
I,left
L,left
J,up
L,right
B,left
L,left
L,right
L,left
J,down
K,down
X,right
J,down
G,up
X,left
X,right
X,right
L,right
J,up
L,left
L,left
K,down
J,up
E,right
E,left
X,left
X,right
I,left
E,right
E,left
I,right
X,left
I,left
X,right
K,up
K,down
L,right
E,right
X,left
X,right
I,right
X,left
X,right
X,left
X,right
J,down
E,left
F,left
J,down
H,down
J,up
H,down
J,down
H,down
J,up
X,right
