car name,move
B,down
M,right
G,left
K,left
M,right
K,right
A,right
A,left
S,up
E,right
A,left
A,right
I,up
S,down
M,left
K,left
I,down
B,down
M,left
B,up
M,right
A,left
K,right
B,down
M,right
S,up
M,left
M,right
B,up
E,left
F,up
S,down
G,right
K,left
G,left
G,left
G,right
S,up
K,right
E,right
G,left
E,left
G,right
S,up
M,left
G,right
E,right
G,left
S,down
S,down
F,down
G,right
G,left
G,right
G,left
M,right
K,left
K,right
M,left
M,right
G,right
A,right
A,right
M,left
K,left
K,right
G,left
A,left
B,up
G,right
K,left
G,left
S,up
A,right
K,right
M,right
T,left
U,left
G,right
A,left
S,up
P,down
S,down
I,up
K,left
K,right
B,down
I,down
A,left
K,right
K,left
M,left
K,right
G,left
I,up
M,right
M,left
F,up
S,up
M,right
S,down
G,right
G,left
S,up
I,down
S,down
B,down
S,up
M,left
E,right
K,left
S,up
E,left
G,right
S,down
G,left
S,down
M,right
J,up
J,down
H,down
H,up
E,right
E,left
B,up
G,left
S,up
M,left
S,down
G,right
J,up
I,up
I,down
M,right
G,right
K,left
P,up
G,left
K,left
G,right
G,left
U,right
U,left
M,left
M,right
U,right
M,left
G,right
K,right
G,left
K,right
M,right
M,left
T,right
E,left
K,left
K,right
M,right
G,right
G,left
T,left
E,right
U,left
P,down
S,up
S,down
M,left
K,left
J,down
B,down
G,right
J,up
M,right
O,up
O,down
P,up
U,right
B,up
O,up
I,up
O,down
K,right
U,left
S,up
G,left
I,down
P,down
I,up
M,left
S,up
M,left
O,up
O,down
M,right
M,right
O,up
G,right
K,right
S,down
K,left
K,right
O,down
J,down
K,left
F,down
A,right
I,down
S,up
S,down
G,left
G,right
B,down
A,left
P,up
G,left
G,right
U,right
B,up
A,right
T,right
A,left
F,up
S,down
I,up
G,left
G,left
I,down
K,left
M,left
G,right
M,right
I,up
E,right
K,right
G,right
E,left
M,left
M,right
I,down
S,down
G,left
G,right
F,down
F,up
G,left
S,up
M,left
R,right
B,down
J,up
J,down
M,right
R,left
G,left
B,up
M,left
G,right
J,up
G,right
G,left
B,down
G,right
M,right
B,up
M,left
M,right
R,right
I,up
S,up
R,left
R,right
R,left
S,up
T,left
O,up
O,down
S,up
S,up
K,left
U,left
K,right
S,down
S,up
K,left
I,down
S,down
J,down
M,left
K,right
E,left
S,up
M,right
M,left
F,down
M,right
S,up
G,left
K,left
P,down
E,right
P,up
B,down
U,right
U,left
B,up
I,up
U,right
F,up
E,right
E,left
K,right
M,left
U,left
I,down
G,left
S,up
G,right
B,down
P,down
S,down
S,up
M,right
G,left
S,down
B,up
M,left
P,up
U,right
M,left
M,right
S,up
G,right
M,right
K,left
S,down
K,right
K,left
K,right
M,left
B,down
B,up
E,right
G,right
U,left
E,left
S,down
M,left
S,up
K,left
B,down
B,up
