car name,move
K,up
K,up
K,down
T,up
T,up
U,left
Q,left
K,up
E,down
K,down
K,up
U,right
K,up
S,up
Q,right
Q,left
U,left
A,right
K,down
U,right
T,up
T,down
K,up
K,down
S,down
A,right
K,up
U,left
Q,right
S,up
A,left
U,left
K,down
T,up
S,up
A,right
U,right
T,down
K,up
U,right
A,left
U,left
A,right
S,down
S,down
S,up
Q,left
S,up
Q,right
S,down
T,up
A,left
K,down
U,left
K,up
A,left
K,up
K,down
T,up
U,right
K,down
T,down
U,right
U,left
T,down
E,up
T,down
T,up
S,down
T,up
K,down
T,down
J,left
U,right
Q,left
U,left
Q,right
K,up
G,left
S,up
U,left
Q,left
K,up
J,right
S,up
N,up
Q,left
T,up
K,up
T,down
U,right
J,left
L,down
M,right
G,left
J,left
U,left
L,down
G,right
J,right
M,left
M,right
G,left
G,left
L,up
M,left
K,down
K,up
L,up
G,right
S,up
L,down
S,down
L,down
G,left
G,left
S,up
G,right
E,down
M,right
J,right
T,up
T,down
M,left
A,right
L,up
J,left
S,down
K,up
J,right
O,left
S,up
L,down
O,right
K,down
G,left
G,right
N,down
G,left
A,right
G,right
N,up
A,left
A,right
K,up
L,up
U,right
K,down
S,down
U,right
L,up
L,down
J,left
M,right
U,left
U,right
M,left
J,left
A,left
E,down
M,right
G,left
K,up
E,down
E,down
A,right
E,down
G,right
F,left
A,left
K,down
G,right
J,right
L,up
J,right
F,right
K,down
A,right
K,up
A,left
G,left
K,down
A,right
U,left
E,down
E,up
E,down
G,right
Q,right
A,left
K,up
E,up
G,left
F,left
U,left
K,down
Q,left
E,down
K,down
K,up
A,left
U,right
K,up
T,up
T,down
U,left
F,left
G,left
F,right
A,right
A,right
E,up
F,left
K,up
B,down
S,up
Q,right
G,right
B,up
F,left
S,down
S,up
S,up
A,left
G,right
G,right
U,right
G,left
T,up
S,down
Q,left
S,up
S,down
G,right
S,up
Q,right
N,up
U,right
K,down
F,right
A,right
F,right
T,up
U,left
N,down
A,left
T,down
S,down
S,down
Q,left
F,right
K,down
G,left
F,left
A,right
G,left
F,left
U,left
E,down
A,left
L,down
G,right
E,up
B,down
A,right
E,down
U,right
T,down
F,right
A,left
J,left
L,up
K,up
Q,right
F,left
S,up
S,down
U,left
J,left
G,right
F,right
K,down
K,up
K,down
J,right
A,right
F,left
F,left
G,left
A,left
G,right
J,right
E,up
B,up
U,right
E,down
K,up
U,left
S,down
A,right
K,down
S,up
K,up
A,left
K,down
S,up
N,up
Q,left
F,right
N,down
F,left
K,up
J,left
E,up
A,right
U,right
J,right
N,up
E,down
F,right
U,left
G,left
N,down
K,up
F,right
K,down
S,down
F,left
B,down
F,right
G,left
S,up
B,up
A,left
A,right
E,up
J,left
S,down
S,up
K,down
G,right
S,down
G,right
U,right
G,left
S,up
G,left
N,up
N,down
G,right
B,down
J,right
F,left
U,left
F,left
E,down
S,down
K,up
L,down
G,right
K,down
L,up
T,up
A,left
A,left
K,up
T,up
G,left
U,right
B,up
S,up
A,right
A,right
K,up
U,left
S,up
U,right
F,left
L,down
E,up
F,right
G,right
G,left
L,up
K,down
B,down
T,down
K,up
G,left
A,left
G,right
T,up
B,up
A,right
B,down
F,right
F,right
S,down
T,up
T,down
T,up
S,up
U,right
G,right
U,left
T,down
L,down
F,left
F,left
F,right
G,left
A,right
U,left
F,right
E,down
S,down
S,down
E,up
E,down
S,up
K,down
S,up
T,down
A,left
G,right
S,down
T,down
T,up
G,left
A,left
T,down
F,left
F,right
B,up
A,right
E,up
G,left
F,right
L,down
T,up
G,left
K,up
S,down
A,left
K,down
T,down
E,down
E,up
L,up
S,up
A,left
S,down
L,down
F,left
G,right
G,right
E,down
S,up
K,down
J,left
J,right
S,down
B,down
A,right
B,up
K,up
G,right
A,right
F,left
N,up
G,left
S,up
E,up
L,up
F,right
A,left
E,down
T,up
F,left
U,right
K,down
E,up
K,up
E,down
F,right
U,left
G,right
E,up
S,down
U,right
L,up
A,right
N,down
F,left
K,up
U,right
T,up
U,left
K,down
K,up
U,left
S,up
Q,right
T,up
S,down
F,right
T,down
U,right
T,up
K,down
K,up
E,down
U,left
G,left
A,left
G,right
K,down
U,right
K,up
E,up
T,up
K,down
G,left
B,down
A,right
K,up
U,right
S,down
A,right
K,down
S,up
G,right
T,up
K,up
S,up
F,left
S,down
A,left
F,right
S,up
J,left
U,left
U,right
T,down
A,right
Q,left
K,down
U,left
J,right
J,left
U,right
T,up
G,left
K,down
G,left
A,left
L,down
T,down
K,up
U,left
A,left
G,right
B,up
L,up
U,left
E,down
A,left
B,down
G,left
E,up
U,right
E,down
S,down
L,down
B,up
F,left
N,up
S,up
G,right
F,right
F,left
G,right
T,down
L,up
G,left
T,up
F,right
F,left
S,down
N,down
G,right
N,up
E,up
N,down
T,down
J,left
K,down
U,right
N,up
U,left
G,left
U,right
N,down
F,right
F,left
J,right
T,up
K,up
T,down
F,right
A,right
K,down
J,right
S,up
J,left
F,left
F,right
L,down
S,down
N,up
T,up
A,right
N,down
F,left
N,up
L,up
N,down
N,up
G,left
J,left
U,left
G,right
U,right
F,right
U,left
F,left
E,down
E,up
E,down
E,up
E,down
A,left
F,right
U,left
K,up
F,left
G,left
N,down
A,right
J,right
G,left
S,up
T,up
Q,right
U,right
T,down
B,down
E,up
J,right
E,down
S,down
F,right
U,left
S,up
U,right
U,left
G,right
A,right
J,left
F,left
S,up
Q,left
A,left
K,up
E,up
K,down
T,up
A,right
U,right
J,right
A,left
G,right
U,right
F,right
S,down
G,left
F,left
J,left
K,up
T,down
S,up
S,down
G,right
G,left
S,up
J,right
K,down
K,up
S,up
L,down
B,up
J,left
J,left
F,right
B,down
A,left
L,up
F,left
E,up
G,right
E,down
T,down
T,up
J,right
G,right
L,down
G,left
G,right
L,up
B,up
A,right
T,up
F,right
J,right
J,left
U,left
G,left
J,right
F,left
S,down
G,left
F,right
U,left
N,up
L,down
L,down
T,down
G,right
T,up
N,down
B,down
F,left
F,left
S,up
A,right
F,right
J,left
A,left
B,up
J,left
E,down
T,down
T,up
G,left
E,up
T,down
E,down
G,right
J,right
J,right
S,down
S,down
E,up
S,up
T,down
G,right
S,down
G,left
L,up
N,up
S,down
T,up
G,left
L,up
G,right
J,left
F,right
A,left
T,down
G,right
L,down
G,left
S,up
K,down
E,down
T,up
G,right
J,right
G,left
F,left
S,down
E,up
U,right
K,down
N,down
L,up
K,up
F,right
A,right
F,left
U,left
U,right
E,down
F,right
T,down
K,up
K,down
L,down
G,right
T,down
F,left
G,left
L,up
K,up
N,up
E,up
F,right
G,right
F,left
G,left
F,left
S,up
L,down
F,right
N,down
S,up
L,up
G,right
N,up
G,left
S,down
U,left
A,left
T,up
E,down
G,right
N,down
E,up
T,down
T,up
A,right
A,left
K,down
S,down
N,up
U,right
F,right
U,right
K,up
N,down
G,left
Q,right
Q,left
S,up
U,left
K,down
F,left
F,right
F,left
J,left
U,left
L,down
S,up
B,down
L,down
F,right
E,down
T,up
A,right
G,right
S,down
G,left
G,right
S,down
K,down
T,down
A,right
E,up
K,up
L,up
K,up
J,left
E,up
E,down
K,down
A,left
A,right
A,left
F,left
T,up
B,up
K,up
N,up
K,down
K,up
A,left
A,right
T,down
G,left
K,down
G,right
A,left
G,left
A,left
L,up
F,right
G,right
E,down
L,down
A,right
E,up
U,right
A,left
E,up
L,up
G,left
F,left
T,up
U,right
K,down
N,down
K,up
A,right
N,up
F,right
G,left
F,left
K,down
E,up
N,down
K,up
K,up
A,right
L,down
L,up
F,right
F,left
U,left
B,down
K,down
T,up
F,right
Q,right
U,right
S,down
K,up
F,left
K,down
E,down
F,right
F,left
Q,right
K,down
S,up
S,down
U,left
K,up
T,down
E,up
F,right
A,left
A,right
U,left
T,up
A,right
Q,left
F,left
F,right
T,down
T,up
A,left
K,up
S,up
G,left
T,down
K,down
K,up
U,right
A,left
G,right
S,down
K,down
F,left
F,right
A,right
S,up
M,left
B,up
A,left
Q,right
Q,left
Q,left
N,down
F,left
F,right
B,down
U,left
N,up
U,right
L,down
K,up
K,down
L,up
L,down
L,up
B,up
A,right
U,right
K,up
F,right
U,left
A,left
M,right
G,left
U,left
F,left
E,down
E,up
M,left
K,down
A,right
F,left
A,left
N,down
N,up
Q,right
U,right
A,right
Q,left
U,right
K,up
N,down
L,down
A,left
B,down
B,up
B,down
L,up
G,right
K,down
