car name,move
X,left
A,left
C,left
A,right
X,left
C,right
A,left
C,left
A,right
C,right
A,left
X,right
B,left
B,right
A,left
A,right
A,right
C,left
X,right
X,left
A,left
B,left
X,right
A,left
X,left
H,up
X,right
X,left
B,left
X,right
B,right
B,left
C,right
X,left
C,left
X,left
C,right
B,right
B,left
X,right
C,left
H,down
X,left
X,right
B,right
X,left
X,right
C,right
H,up
C,left
A,right
X,left
H,down
C,right
X,right
A,left
H,up
X,right
C,left
B,left
D,left
D,right
H,down
B,right
D,left
B,left
D,right
H,up
H,down
C,right
C,left
H,up
C,right
B,right
H,down
X,left
X,left
A,right
C,left
A,left
B,right
X,right
X,left
D,left
X,right
B,left
X,right
X,left
B,left
X,left
G,up
G,up
G,down
X,right
F,right
H,up
F,right
B,right
F,left
X,right
E,right
B,left
H,down
H,up
X,left
X,left
B,right
B,left
X,right
J,up
X,right
B,right
B,left
J,down
J,up
J,up
G,up
F,right
K,up
K,down
X,right
J,down
X,left
X,right
K,up
K,down
J,down
X,left
X,right
X,left
F,left
F,right
X,left
X,left
E,left
E,right
X,right
G,down
X,right
B,right
X,left
X,right
K,up
J,up
K,down
E,right
J,down
B,left
E,left
G,up
G,down
E,left
E,right
E,left
F,left
E,right
J,up
X,left
X,left
X,right
B,right
B,left
X,left
F,right
F,left
J,down
X,right
X,right
E,left
E,right
X,left
J,up
J,up
B,right
X,right
F,right
B,left
X,left
J,down
X,right
J,down
F,left
F,right
G,up
J,up
J,up
X,left
X,right
X,right
F,left
J,down
J,down
X,left
X,right
F,right
K,up
K,down
J,up
F,left
J,down
F,right
J,up
J,up
E,right
J,down
J,down
E,left
J,up
J,down
E,left
X,left
K,up
X,left
X,right
X,right
E,right
K,down
K,up
X,left
E,left
X,left
K,up
E,right
X,left
X,right
X,left
L,left
I,left
G,down
E,left
E,right
L,right
X,right
G,up
I,right
L,left
X,left
E,left
G,down
L,right
X,right
I,left
I,right
X,left
X,right
K,down
L,left
E,right
G,up
L,left
X,right
X,right
E,left
E,right
L,right
L,right
X,left
X,left
X,left
G,down
G,up
K,up
E,left
G,down
B,right
X,right
A,right
E,right
X,left
X,right
A,left
B,left
I,left
I,left
J,up
J,down
I,left
B,right
I,right
I,right
I,left
J,up
I,left
B,left
G,up
J,up
G,down
B,right
K,down
A,right
X,right
X,left
X,right
X,left
J,down
A,left
J,up
K,up
J,down
I,right
X,left
J,down
J,up
J,down
I,left
X,right
A,right
J,up
L,left
A,left
A,right
A,left
J,down
L,right
E,left
A,right
K,down
L,left
X,right
X,left
A,left
L,left
X,left
X,right
L,left
E,right
K,down
F,left
F,right
B,left
X,left
X,right
X,right
K,up
K,down
J,up
E,right
B,right
E,left
B,left
J,up
G,up
X,right
X,left
L,left
G,down
G,up
X,left
L,right
F,left
F,right
X,right
X,left
X,right
L,left
L,right
X,right
F,left
L,left
H,down
J,down
X,left
L,right
J,up
G,down
G,up
X,left
X,right
L,left
H,down
X,right
H,up
L,right
I,left
H,up
I,right
X,left
J,down
X,right
F,right
X,left
X,right
J,down
J,up
L,left
L,right
L,left
J,up
X,left
X,right
X,left
L,right
J,down
K,up
K,down
X,left
X,right
L,left
L,right
G,down
J,down
E,left
G,up
E,right
E,left
G,down
B,right
E,right
E,left
A,right
F,left
X,left
X,right
A,left
F,right
B,left
X,left
X,right
K,up
X,left
X,left
E,right
K,up
K,down
X,right
J,up
L,left
B,right
B,left
X,right
X,left
L,right
L,left
K,down
X,right
K,up
J,up
J,down
L,right
L,right
J,up
X,left
L,left
