car name,move
X,left
X,right
A,left
X,left
X,left
C,left
A,left
X,right
X,right
X,left
D,left
B,left
X,left
X,right
D,right
X,left
X,right
H,up
B,left
B,right
H,down
H,up
D,left
X,right
H,down
X,left
G,up
X,right
G,down
D,right
H,up
X,left
H,down
X,right
D,left
X,left
X,left
D,right
D,left
B,right
A,right
A,left
X,right
X,right
B,left
B,right
D,right
B,left
C,right
B,right
A,right
A,left
X,left
C,left
X,right
X,left
B,left
X,right
B,left
B,right
C,right
A,right
A,left
X,left
C,left
X,right
X,left
X,left
X,right
B,left
B,right
H,up
X,right
H,down
A,right
X,left
D,left
A,left
B,right
B,left
A,right
A,left
X,left
X,right
X,right
D,right
B,right
B,left
X,left
X,left
X,right
X,left
C,right
C,left
X,right
X,right
A,right
A,left
D,left
D,right
C,right
B,left
C,left
B,right
D,left
X,left
X,right
G,up
B,right
X,left
X,right
X,left
X,right
A,right
A,left
G,down
G,up
B,left
B,right
A,right
A,left
B,left
F,right
B,right
A,right
X,left
F,left
A,left
X,left
F,right
A,right
A,left
A,right
B,left
B,right
X,right
A,left
A,right
F,left
X,right
B,left
H,up
G,down
H,down
A,left
G,up
X,left
X,right
A,right
H,up
A,left
H,down
F,right
X,left
X,left
F,left
G,down
D,right
X,right
B,left
B,right
X,left
X,right
C,right
A,right
C,left
X,right
C,right
X,left
C,left
H,up
A,left
X,right
C,right
C,left
H,down
B,left
C,right
B,right
X,left
H,up
X,left
H,down
H,up
C,left
C,right
A,right
A,left
H,down
B,left
B,right
X,right
X,left
X,right
X,left
X,right
X,left
H,up
B,left
H,down
H,up
H,down
H,up
B,right
X,right
C,left
B,left
H,down
H,up
X,right
D,left
X,left
H,down
X,right
D,right
D,left
B,right
G,up
G,down
G,up
F,right
H,up
A,right
F,left
X,left
H,down
A,left
X,left
H,up
A,right
X,right
H,down
F,right
H,up
X,left
F,right
A,left
K,up
K,up
X,right
I,left
I,right
B,left
L,left
X,left
K,down
E,right
L,left
L,right
B,right
L,left
L,right
A,right
L,right
X,right
K,down
J,up
A,left
A,right
A,left
X,left
J,down
E,right
A,right
A,left
E,left
X,right
K,up
A,right
E,left
A,left
E,right
J,up
X,right
J,down
X,left
L,left
L,right
E,left
B,left
K,down
E,right
X,right
X,left
B,right
K,up
J,up
J,up
K,up
I,left
A,right
I,right
A,left
I,left
L,left
L,left
I,left
I,left
L,left
B,left
L,right
L,left
G,up
L,right
K,down
I,left
L,left
K,up
G,down
L,left
K,down
K,down
K,up
G,up
L,right
I,right
G,down
L,right
L,right
G,up
L,right
X,right
G,down
J,down
J,down
B,right
B,left
K,down
X,left
K,up
K,down
X,left
K,up
J,up
J,down
K,up
I,right
I,left
J,up
G,up
J,down
K,down
J,up
J,down
K,up
X,right
J,up
G,down
B,right
J,down
X,left
L,left
K,down
E,left
L,left
B,left
X,right
E,right
B,right
L,left
B,left
B,right
K,up
X,left
X,right
K,down
L,right
L,right
X,right
J,up
L,left
A,right
L,left
X,left
X,left
J,down
K,down
E,left
F,left
H,down
E,right
J,up
J,down
H,down
B,right
H,up
E,left
A,left
A,right
H,down
A,right
H,up
H,down
X,right
H,down
X,right
F,left
H,up
G,down
A,left
A,left
B,left
X,left
A,right
H,down
X,left
A,left
G,up
B,left
H,up
H,up
X,right
G,down
B,right
X,right
B,right
G,down
X,left
A,right
H,down
B,left
H,down
H,up
X,left
H,up
D,right
A,left
X,right
H,up
X,left
X,right
C,right
C,left
G,up
C,right
C,left
X,left
X,right
D,left
X,left
D,right
C,right
G,down
X,right
G,up
G,down
G,down
B,left
G,up
X,left
C,left
X,right
B,right
A,right
D,left
G,down
D,right
X,left
H,down
G,up
X,right
X,left
H,up
G,down
H,down
A,left
A,right
C,right
C,left
H,down
H,down
X,right
C,right
H,up
A,left
C,left
D,right
X,right
D,left
F,right
C,right
X,left
C,left
H,down
B,right
B,left
H,up
X,right
B,right
X,left
X,left
C,right
C,left
H,down
F,left
X,right
H,up
X,right
H,down
X,right
B,left
A,right
H,up
F,right
C,right
X,left
X,left
B,right
H,down
A,left
H,up
H,up
B,left
E,right
H,down
X,right
X,right
A,right
E,left
A,left
X,left
A,right
H,up
X,right
H,down
X,left
D,right
H,down
C,left
A,left
A,right
H,up
F,left
B,right
X,right
C,right
D,left
C,left
D,left
A,left
D,right
B,left
H,down
B,right
X,right
