car name,move
X,left
X,left
A,left
X,right
X,left
C,left
X,right
X,right
D,left
B,left
G,up
H,up
A,left
G,down
D,right
D,left
G,up
F,right
F,right
E,right
E,left
K,up
E,right
X,left
B,left
L,left
G,up
E,left
L,right
K,down
X,right
X,left
E,right
J,up
K,up
K,up
L,left
K,down
J,down
E,left
L,left
E,right
L,right
X,left
E,left
E,right
G,down
L,left
K,up
B,right
I,left
A,right
A,left
I,left
L,right
I,left
L,left
L,left
K,down
K,down
X,right
X,left
J,up
B,left
L,left
G,up
G,down
L,right
F,left
H,down
J,down
X,right
E,left
X,left
X,right
B,right
X,right
B,right
X,left
A,right
X,right
A,right
F,left
G,down
G,up
G,down
G,down
X,left
H,down
X,right
X,left
X,right
D,right
D,right
C,right
A,left
G,down
C,left
D,left
C,right
X,right
H,down
H,up
F,right
H,down
X,right
