car name,move
C,left
A,left
A,right
A,left
J,left
A,right
J,right
A,left
J,left
I,down
I,up
J,right
A,right
G,up
L,up
J,left
L,down
A,left
I,down
I,up
J,right
J,left
J,right
J,left
A,right
F,right
A,left
K,up
G,up
K,down
F,left
J,right
L,up
J,left
I,down
L,up
I,up
I,down
I,down
H,right
J,left
J,right
E,down
D,left
J,left
D,right
J,right
J,left
J,left
D,left
E,down
E,up
D,right
E,down
E,down
H,left
H,right
D,left
E,up
E,down
E,up
D,right
E,up
D,left
E,down
E,up
D,right
J,right
D,left
J,left
E,down
D,right
D,left
E,down
H,left
I,up
I,up
I,down
I,up
I,up
H,right
E,up
E,up
J,right
J,left
J,right
J,left
E,down
E,down
E,up
E,up
J,right
J,left
E,down
E,up
J,right
J,right
J,left
J,left
E,down
E,up
E,down
E,up
J,right
J,right
J,right
L,down
L,down
G,down
E,down
E,down
G,down
G,up
G,up
H,left
H,left
X,right
X,left
G,down
H,right
I,down
B,left
F,right
B,right
D,right
F,left
D,left
G,up
D,right
D,left
G,down
I,up
A,right
H,left
H,right
A,left
G,up
X,right
H,right
X,right
L,up
H,left
X,right
I,down
L,down
D,right
D,left
L,up
G,down
L,down
D,right
B,left
B,right
G,up
D,left
D,right
L,up
D,left
L,down
H,left
H,right
G,down
F,right
I,up
I,down
I,up
F,left
B,left
I,down
I,up
I,down
I,up
I,up
F,right
H,right
H,left
X,right
