car name,move
J,left
I,down
I,down
H,right
E,down
C,right
A,left
B,left
C,left
E,up
H,left
I,up
I,up
J,right
C,left
G,up
J,left
I,down
I,down
H,right
E,down
L,up
D,left
B,right
L,down
F,right
K,up
D,right
E,up
K,down
F,right
G,up
K,up
X,right
F,left
K,down
E,down
F,left
L,up
X,left
L,up
J,left
J,left
E,down
E,down
H,left
I,up
I,up
D,left
I,up
H,right
E,up
E,up
J,right
J,right
J,right
E,down
E,down
L,down
L,down
E,up
F,right
K,up
E,down
F,right
K,down
G,down
F,left
H,left
I,down
K,up
D,right
G,up
K,down
F,left
L,up
G,down
D,left
I,up
A,right
L,down
I,down
G,down
D,right
C,right
C,right
A,left
B,left
C,left
D,left
I,up
H,right
E,up
E,up
J,left
C,left
G,up
J,right
E,down
E,down
H,left
I,down
H,left
B,right
I,up
G,up
X,right
I,down
H,right
L,up
X,right
X,right
L,down
F,right
K,up
G,down
K,up
I,up
H,right
K,down
K,down
E,up
F,left
G,down
E,down
H,left
I,down
D,right
G,up
L,up
A,right
D,left
L,down
H,left
I,up
A,left
B,left
I,down
H,right
L,up
I,up
H,right
L,down
I,up
E,up
G,down
X,right
