car name,move
J,left
I,down
I,down
H,right
C,left
C,right
A,left
H,left
C,left
H,right
A,right
C,right
C,left
A,left
A,right
A,left
H,left
I,up
I,down
B,left
B,right
G,up
I,up
I,down
H,right
A,right
L,up
L,down
A,left
A,right
H,left
A,left
A,right
A,left
G,down
B,left
G,up
H,right
F,right
F,left
B,right
H,left
I,up
I,down
L,up
B,left
H,right
B,right
H,left
L,down
G,up
H,left
H,right
H,left
X,right
I,up
I,up
I,down
X,left
I,down
I,up
H,right
X,right
I,down
X,left
X,right
X,left
L,up
L,up
J,left
J,right
H,right
E,down
J,left
E,up
E,down
J,right
E,up
H,left
J,left
H,right
J,left
E,down
J,right
D,left
J,left
E,down
E,down
H,left
H,right
H,left
D,right
H,right
D,left
D,right
E,up
E,up
D,left
D,right
E,up
E,down
J,right
J,left
E,down
E,down
H,left
D,left
I,up
I,up
I,up
I,down
D,right
D,left
I,down
I,up
I,down
I,down
D,right
D,left
I,up
I,up
D,right
D,left
I,up
H,right
E,up
E,up
E,down
E,up
E,down
E,down
E,up
E,up
J,right
J,right
J,right
J,left
J,right
E,down
E,down
L,down
L,down
L,up
E,up
E,down
L,down
L,up
H,left
H,right
E,up
L,down
L,up
E,down
X,right
X,right
X,left
X,right
E,up
E,down
X,right
G,down
L,down
L,up
L,down
G,up
F,right
E,up
K,up
K,down
E,down
X,left
X,left
X,right
X,right
K,up
K,up
X,left
X,right
E,up
K,down
K,up
K,down
K,up
G,down
E,down
K,down
K,up
K,down
K,up
K,down
K,up
F,right
F,left
B,left
I,up
K,down
K,down
X,right
