car name,move
B,down
F,up
F,up
E,left
B,down
B,down
X,left
X,left
G,up
H,left
G,up
F,up
A,left
A,left
G,up
D,left
C,down
C,down
C,down
F,up
X,left
B,up
B,up
E,right
E,right
E,right
B,down
B,down
X,right
F,down
F,down
F,down
F,down
X,left
B,up
H,left
H,left
B,up
A,left
B,up
D,left
D,left
G,down
D,left
B,down
A,right
A,right
A,right
A,right
G,up
B,up
D,right
D,right
D,right
B,down
B,down
F,up
H,left
B,down
X,right
F,up
F,up
F,up
X,left
B,up
B,up
E,left
E,left
E,left
B,up
D,left
D,left
G,down
G,down
G,down
D,left
B,down
B,down
B,down
X,right
X,right
X,right
X,right
