car name,move
M,right
M,right
K,left
G,left
G,right
B,down
E,right
G,left
I,up
G,right
A,left
I,down
S,up
A,right
B,up
K,right
B,down
M,left
E,left
M,right
E,right
I,up
A,right
I,down
S,down
B,up
B,down
S,up
K,left
R,right
M,left
G,left
E,left
B,up
G,right
R,left
M,right
A,left
G,left
R,right
M,left
E,right
B,down
M,right
M,left
B,down
R,left
G,right
B,up
A,right
B,up
K,right
G,left
B,down
E,left
M,right
A,left
A,left
M,left
T,left
G,right
M,right
G,left
K,left
F,up
G,right
U,left
E,right
P,down
B,down
B,up
K,right
I,up
M,left
K,left
K,right
S,up
P,up
M,right
P,down
I,down
P,up
F,down
B,down
S,down
F,up
U,right
T,right
F,down
B,up
G,left
S,up
R,right
G,right
G,left
G,right
R,left
E,left
S,up
T,left
M,left
G,left
M,right
T,right
F,up
T,left
E,right
S,down
M,left
U,left
U,right
F,down
M,right
M,left
M,right
S,down
U,left
S,up
S,up
M,left
E,left
F,up
M,left
E,right
E,left
E,right
E,right
G,right
P,down
E,left
M,right
S,up
K,right
K,left
B,down
S,up
M,right
K,right
S,down
K,left
H,down
J,up
H,up
S,up
S,down
B,up
M,left
H,down
M,right
M,left
M,right
M,left
S,down
G,left
S,down
G,right
S,up
B,down
H,up
B,up
M,right
O,up
S,up
S,up
S,up
H,down
G,left
E,left
G,right
K,left
K,right
O,down
M,left
H,up
J,down
G,left
G,right
M,left
K,left
P,up
M,right
M,left
P,down
J,up
K,right
E,right
J,down
M,right
M,left
H,down
H,up
B,down
H,down
S,down
H,up
E,right
M,right
S,down
M,right
E,left
E,right
H,down
S,up
M,left
K,left
M,right
H,up
S,down
E,left
B,up
K,right
K,left
M,left
B,down
P,up
K,right
B,up
S,up
M,right
E,left
F,down
K,left
A,right
E,right
S,down
K,right
A,right
U,right
A,left
K,left
I,up
T,right
A,right
B,up
S,up
I,down
B,down
S,up
B,down
A,left
K,right
A,left
B,up
M,left
T,left
A,right
U,left
A,left
M,right
S,up
M,left
K,left
F,up
B,down
M,left
B,up
K,right
M,right
S,down
S,up
M,left
K,left
K,right
G,left
K,left
M,right
E,left
K,right
E,right
U,right
S,down
S,up
T,right
G,right
M,left
G,left
M,right
E,right
M,left
B,down
S,down
M,right
M,left
T,left
S,up
S,down
M,right
E,left
K,left
K,right
M,right
J,up
G,right
K,left
S,up
M,left
M,left
B,up
G,left
T,right
T,left
E,left
E,right
M,right
I,up
I,down
G,right
E,left
K,left
G,left
U,left
S,down
E,right
M,right
S,up
U,right
K,right
M,left
K,right
G,right
M,left
G,left
I,up
M,right
M,right
I,down
S,down
K,left
G,right
G,left
T,right
S,up
T,left
O,up
K,right
